metro,date,home_values,rent_index,inventory,new_construction_sales,sales_count,mean_sale_price,years_to_save_downpayment,homeowner_affordability,renter_affordability,days_on_market,median_sale_to_list_ratio
"Atlanta, GA",01/31/2012,"$127,941",,,,"6,124","$128,900",5,0.1547,,,
"Atlanta, GA",01/31/2013,"$133,621",,,,"6,534","$153,870",5,0.1512,,,
"Atlanta, GA",01/31/2014,"$157,411",,,,"5,796","$183,855",5,0.1958,,,
"Atlanta, GA",01/31/2015,"$172,325",$988,,,"5,726","$205,054",6,0.1881,0.1975,,
"Atlanta, GA",01/31/2016,"$186,636","$1,042",,,"6,129","$220,727",6,0.1973,0.2002,,
"Atlanta, GA",01/31/2017,"$200,677","$1,100",,,"6,411","$230,673",6,0.2092,0.2038,,
"Atlanta, GA",01/31/2018,"$218,028","$1,173",,"1,824","6,724","$242,750",6,0.2141,0.2072,,0.9814
"Atlanta, GA",01/31/2019,"$236,880","$1,251","26,971","1,683","6,491","$252,470",7,0.2309,0.2128,53,0.9836
"Atlanta, GA",01/31/2020,"$249,683","$1,310","28,473","1,723","7,241","$270,317",7,0.2245,0.2204,60,0.9827
"Atlanta, GA",01/31/2021,"$276,675","$1,410","20,464","2,209","8,094","$320,889",7,0.2083,0.2211,38,1.0000
"Atlanta, GA",01/31/2022,"$340,039","$1,670","17,486","1,756","8,912","$366,046",9,0.2585,0.2525,27,1.0000
"Atlanta, GA",01/31/2023,"$374,132","$1,743","20,274","1,325","4,829","$378,153",9,0.3365,0.2439,51,0.9859
"Atlanta, GA",01/31/2024,"$384,991","$1,743","18,872","1,204","4,985","$408,512",9,0.3457,0.2323,50,0.9889
"Atlanta, GA",01/31/2025,"$387,168","$1,767","26,006",992,"5,015","$435,846",8,0.3483,0.2265,72,0.9871
"Atlanta, GA",01/31/2026,"$376,472","$1,805","28,682",639,"4,033","$455,471",8,0.3090,0.2237,88,0.9818
"Atlanta, GA",02/28/2013,"$134,696",,,,"6,338","$165,588",5,0.1538,,,
"Atlanta, GA",02/28/2014,"$159,128",,,,"6,071","$183,012",6,0.1953,,,
"Atlanta, GA",02/28/2015,"$173,228",$992,,,"6,069","$204,884",6,0.1891,0.1979,,
"Atlanta, GA",02/28/2017,"$202,190","$1,107",,,"7,129","$225,478",6,0.2101,0.2040,,
"Atlanta, GA",02/28/2018,"$219,996","$1,181",,"2,184","7,733","$246,911",6,0.2206,0.2075,,0.9854
"Atlanta, GA",02/28/2019,"$238,391","$1,258","27,807","1,890","7,758","$256,184",7,0.2297,0.2129,54,0.9857
"Atlanta, GA",02/28/2021,"$281,284","$1,428","19,351","2,600","8,960","$324,786",7,0.2110,0.2220,36,1.0000
"Atlanta, GA",02/28/2022,"$348,089","$1,674","16,413","1,745","10,025","$385,138",9,0.2696,0.2513,27,1.0050
"Atlanta, GA",02/28/2023,"$372,834","$1,748","18,909","1,590","5,965","$390,921",9,0.3340,0.2434,54,0.9914
"Atlanta, GA",02/28/2025,"$386,323","$1,780","25,953","1,073","5,767","$443,856",8,0.3438,0.2268,75,0.9894
"Atlanta, GA",02/28/2026,"$376,108","$1,808","27,771",,"5,406","$472,665",8,0.3066,0.2226,89,
"Atlanta, GA",02/29/2012,"$127,438",,,,"6,530","$135,807",5,0.1537,,,
"Atlanta, GA",02/29/2016,"$188,136","$1,049",,,"7,047","$216,650",6,0.1944,0.2004,,
"Atlanta, GA",02/29/2020,"$251,534","$1,318","27,623","2,131","8,282","$279,896",7,0.2231,0.2213,61,0.9865
"Atlanta, GA",02/29/2024,"$385,937","$1,752","18,882","1,400","5,922","$437,539",8,0.3489,0.2321,52,0.9951
"Atlanta, GA",03/31/2012,"$127,668",,,,"7,649","$147,938",5,0.1547,,,
