date,days_on_market,home_values,homeowner_affordability,inventory,mean_sale_price,median_sale_to_list_ratio,new_construction_sales,rent_index,renter_affordability,sales_count,years_to_save_downpayment
2012-01-31,,"$157,059",0.217,,"$208,889",,,,,"209,099",6.18
2012-02-29,,"$157,041",0.216,,"$206,130",,,,,"225,755",6.17
2012-03-31,,"$157,249",0.217,,"$218,391",,,,,"286,814",6.17
2012-04-30,,"$157,606",0.217,,"$227,459",,,,,"293,046",6.17
2012-05-31,,"$158,042",0.215,,"$235,814",,,,,"337,291",6.18
2012-06-30,,"$158,564",0.214,,"$244,350",,,,,"352,400",6.2
2012-07-31,,"$159,134",0.212,,"$240,572",,,,,"329,152",6.21
2012-08-31,,"$159,623",0.213,,"$236,963",,,,,"355,382",6.22
2012-09-30,,"$160,181",0.211,,"$231,447",,,,,"289,063",6.21
2012-10-31,,"$160,784",0.209,,"$228,736",,,,,"319,247",6.19
2012-11-30,,"$161,504",0.208,,"$234,618",,,,,"296,133",6.19
2012-12-31,,"$162,258",0.209,,"$246,946",,,,,"295,608",6.22
2013-01-31,,"$163,123",0.208,,"$224,098",,,,,"244,509",6.26
2013-02-28,,"$164,052",0.211,,"$225,215",,,,,"245,034",6.3
2013-03-31,,"$165,022",0.212,,"$238,682",,,,,"312,788",6.32
2013-04-30,,"$166,077",0.211,,"$247,937",,,,,"348,920",6.34
2013-05-31,,"$167,310",0.213,,"$257,902",,,,,"401,057",6.38
2013-06-30,,"$168,680",0.225,,"$264,727",,,,,"392,775",6.45
2013-07-31,,"$169,922",0.233,,"$264,785",,,,,"414,651",6.51
2013-08-31,,"$171,133",0.237,,"$259,469",,,,,"410,941",6.58
2013-09-30,,"$172,238",0.238,,"$253,625",,,,,"348,557",6.61
2013-10-31,,"$173,464",0.234,,"$250,788",,,,,"348,784",6.64
2013-11-30,,"$174,467",0.236,,"$248,771",,,,,"299,209",6.66
2013-12-31,,"$175,386",0.24,,"$255,875",,,,,"309,818",6.68
2014-01-31,,"$176,187",0.238,,"$250,775",,,,,"243,003",6.7
2014-02-28,,"$177,042",0.236,,"$245,301",,,,,"239,602",6.71
2014-03-31,,"$177,906",0.237,,"$254,104",,,,,"297,680",6.72
2014-04-30,,"$178,772",0.238,,"$260,426",,,,,"337,884",6.73
2014-05-31,,"$179,762",0.235,,"$268,138",,,,,"380,872",6.74
2014-06-30,,"$180,639",0.235,,"$273,102",,,,,"404,773",6.75
2014-07-31,,"$181,500",0.234,,"$270,429",,,,,"407,665",6.75
2014-08-31,,"$182,160",0.234,,"$267,872",,,,,"389,047",6.75
2014-09-30,,"$182,778",0.235,,"$260,396",,,,,"359,114",6.75
2014-10-31,,"$183,186",0.232,,"$259,677",,,,,"371,990",6.74
2014-11-30,,"$183,718",0.231,,"$259,402",,,,,"286,725",6.74
2014-12-31,,"$184,369",0.229,,"$262,557",,,,,"332,624",6.74
2015-01-31,,"$185,171",0.223,,"$260,261",,,"$1,133",0.248,"243,560",6.74
2015-02-28,,"$185,968",0.224,,"$257,834",,,"$1,139",0.248,"253,781",6.75
2015-03-31,,"$186,779",0.226,,"$266,154",,,"$1,148",0.249,"343,493",6.76
2015-04-30,,"$187,665",0.224,,"$274,325",,,"$1,157",0.249,"372,608",6.78
2015-05-31,,"$188,643",0.228,,"$279,894",,,"$1,165",0.25,"404,591",6.8
2015-06-30,,"$189,582",0.231,,"$286,352",,,"$1,173",0.25,"469,538",6.81
2015-07-31,,"$190,552",0.233,,"$281,336",,,"$1,178",0.25,"467,288",6.83
2015-08-31,,"$191,569",0.231,,"$275,446",,,"$1,182",0.25,"424,502",6.84
2015-09-30,,"$192,695",0.231,,"$270,323",,,"$1,184",0.251,"402,901",6.86
2015-10-31,,"$193,877",0.23,,"$268,470",,,"$1,184",0.251,"382,285",6.88
2015-11-30,,"$194,939",0.233,,"$270,758",,,"$1,184",0.251,"299,524",6.9
2015-12-31,,"$195,996",0.234,,"$273,775",,,"$1,185",0.251,"359,861",6.92
2016-01-31,,"$197,135",0.232,,"$269,505",,,"$1,188",0.251,"265,267",6.94
2016-02-29,,"$198,269",0.229,,"$264,705",,,"$1,192",0.251,"280,322",6.96
2016-03-31,,"$199,113",0.23,,"$271,902",,,"$1,198",0.251,"366,404",6.98
2016-04-30,,"$199,884",0.229,,"$278,990",,,"$1,206",0.252,"392,290",6.99
2016-05-31,,"$200,659",0.229,,"$283,379",,,"$1,214",0.252,"438,017",7.01
2016-06-30,,"$201,603",0.229,,"$293,883",,,"$1,222",0.252,"493,088",7.02
2016-07-31,,"$202,322",0.226,,"$288,311",,,"$1,226",0.252,"435,462",7.02
2016-08-31,,"$202,997",0.226,,"$285,565",,,"$1,228",0.252,"463,013",7.03
2016-09-30,,"$203,738",0.227,,"$279,999",,,"$1,228",0.252,"417,787",7.03
2016-10-31,,"$204,672",0.227,,"$279,851",,,"$1,227",0.252,"384,152",7.03
2016-11-30,,"$205,705",0.233,,"$282,279",,,"$1,226",0.251,"361,547",7.04
2016-12-31,,"$206,797",0.241,,"$280,644",,,"$1,225",0.251,"372,157",7.04
2017-01-31,,"$207,890",0.24,,"$283,456",,,"$1,229",0.251,"290,450",7.04
2017-02-28,,"$209,034",0.241,,"$277,264",,,"$1,237",0.25,"284,428",7.05
2017-03-31,,"$210,212",0.241,,"$286,537",,,"$1,248",0.25,"403,665",7.05
2017-04-30,,"$211,492",0.238,,"$294,481",,,"$1,257",0.25,"390,088",7.05
2017-05-31,,"$212,631",0.238,,"$302,016",,,"$1,266",0.249,"475,237",7.05
2017-06-30,,"$213,698",0.236,,"$311,740",,,"$1,273",0.249,"519,912",7.07
2017-07-31,,"$214,608",0.237,,"$305,325",,,"$1,278",0.249,"445,894",7.07
2017-08-31,,"$215,541",0.236,,"$302,456",,,"$1,279",0.249,"479,581",7.08
2017-09-30,,"$216,512",0.236,,"$296,844",,,"$1,279",0.25,"406,772",7.11
2017-10-31,,"$217,620",0.238,,"$297,341",,,"$1,278",0.251,"401,493",7.14
2017-11-30,,"$218,814",0.24,,"$299,910",,,"$1,278",0.251,"364,925",7.18
2017-12-31,,"$220,064",0.242,,"$300,163",,,"$1,279",0.252,"356,264",7.21
